Locus tag,Locus,log_fc,pvalue
Rv3290c,lat,-3.44309378440982,0.0001
Rv3579c,,-2.5395966527506,0.0002
Rv0806c,cpsY,-1.6285328858436021,0.0144
Rv3472,,-1.470713997586942,0.2271
Rv2524c,fas,-1.425961923331748,0.0254
Rv0097,,-1.3148356370235572,0.0118
Rv3036c,TB22.2,-1.3077109945599494,0.0378
Rv0099,fadD10,-1.2740712127655034,0.0019
Rv1860,apa,-1.2395633317886487,0.0025
Rv0021c,,-1.1432901137405642,0.0517
Rv1623c,cydA,-1.1121539055625778,0.4568
Rv2911,dacB2,-1.0771399083689503,0.0065
Rv0125,pepA,-1.0549833047087547,0.0053
Rv1887,,-1.0324515450819565,0.0454
Rv0697,,-1.0309151679074788,0.0004
Rv2242,,-1.0283747439122,0.0001
Rv1208,gpgS,-1.0225031863945933,0.1276
Rv2715,,-1.0137479088033632,0.007
Rv1256c,cyp130,-1.0117743445458527,0.0278
Rv0696,,-1.007290260641472,0.0145
Rv1176c,,-0.9948347551262096,0.0744
Rv3049c,,-0.9863006153812597,0.0239
Rv0166,fadD5,-0.9776842888427196,0.0053
Rv0032,bioF2,-0.9744967454614595,0.0198
Rv0108c,,-0.9744567435729087,0.253
Rv3616c,espA,-0.9681693768617187,0.0148
Rv3407,vapB47,-0.9587042318768357,0.0292
Rv1844c,gnd1,-0.9430066349636127,0.0019
Rv3736,,-0.9290684242596375,0.0008
Rv1963c,mce3R,-0.9262471841124339,0.0394
Rv1393c,,-0.9165713209984946,0.003
Rv0458,,-0.9087164783284171,0.0009
Rv2864c,,-0.9024644405825879,0.0052
Rv1980c,mpt64,-0.8987571111797805,0.1816
Rv0073,,-0.8968681011038324,0.0612
Rv1096,,-0.8912539254336359,0.0102
Rv2782c,pepR,-0.8871588468520424,0.0211
Rv3297,nei,-0.8768618934524359,0.1452
Rv1187,rocA,-0.8748757859187679,0.0237
Rv3391,acrA1,-0.8510285799775718,0.0831
Rv0886,fprB,-0.8368989310758681,0.0075
Rv1540,,-0.8318799177867422,0.0073
Rv2483c,plsC,-0.8287201506732661,0.0478
Rv1425,,-0.8255012421039158,0.0189
Rv0069c,sdaA,-0.8228414389979659,0.0084
Rv0220,lipC,-0.8151008046621244,0.008
Rv2391,sirA,-0.8127932169900465,0.003
Rv2820c,,-0.8060137970709959,0.0219
Rv0690c,,-0.8054176247542674,0.0073
Rv1923,lipD,-0.8049858696895422,0.0024
Rv1770,,-0.7990465008879843,0.0174
Rv0785,,-0.7942293921452601,0.0419
Rv0761c,adhB,-0.7937659544990555,0.0005
Rv0655,mkl,-0.7922982758876477,0.0203
Rv1590,,-0.7908789584423142,0.0209
Rv2247,accD6,-0.7892435053625922,0.0104
Rv0101,nrp,-0.7884620408313574,0.0161
Rv2529,,-0.7849741498139304,0.0031
Rv1589,bioB,-0.7844889727869857,0.0047
Rv1701,,-0.7793404895204028,0.0476
Rv1153c,omt,-0.7792071149504489,0.1318
Rv3299c,atsB,-0.7772394225678817,0.0053
Rv2737c,recA,-0.7714848891335743,0.0201
Rv2335,cysE,-0.767067168801741,0.0355
Rv3164c,moxR3,-0.7664989127162781,0.0105
Rv3059,cyp136,-0.764821586922068,0.017
Rv0046c,ino1,-0.7565806615906984,0.0106
Rv0760c,,-0.7483461396620604,0.3873
Rv3087,,-0.7445838935772784,0.0292
Rv3211,rhlE,-0.7440148039904088,0.0062
Rv1426c,lipO,-0.73906293497724,0.0326
Rv3633,,-0.7353318461196207,0.0905
Rv0055,rpsR1,-0.7341212216875983,0.404
Rv3024c,trmU,-0.7340445653272547,0.0164
Rv0824c,desA1,-0.7330896649253253,0.0029
Rv0864,moaC2,-0.7323405106851218,0.0136
Rv2610c,pimA,-0.7299567383328874,0.0077
Rv0485,,-0.7264233087484017,0.0002
Rv1420,uvrC,-0.7231688783992687,0.0736
Rv3480c,,-0.7170625721324471,0.0775
Rv2975a,,-0.7055358073020761,0.284
Rv0814c,,-0.7049950128504596,0.0745
Rv3118,,-0.7049950128504596,0.0745
Rv1253,deaD,-0.7015341435132713,0.0053
Rv0567,,-0.6932143847526222,0.009
Rv3597c,lsr2,-0.6900694271411426,0.0626
Rv2397c,cysA1,-0.6894420530788784,0.0133
Rv3341,metA,-0.6846265430309135,0.128
Rv3403c,,-0.6811658399424355,0.0434
Rv2565,,-0.673250643259099,0.0155
Rv2359,zur,-0.6725763218175144,0.2484
Rv3683,,-0.6712770576155942,0.0356
Rv3121,cyp141,-0.6708511993539703,0.039
Rv2231c,cobC,-0.6681629588132727,0.0056
Rv0511,hemD,-0.6659854566229596,0.1051
Rv2368c,phoH1,-0.6659712091987261,0.0093
Rv1981c,nrdF1,-0.6644699793865414,0.115
Rv3148,nuoD,-0.6623000282156877,0.0115
Rv0799c,,-0.6619345076001371,0.1264
Rv2733c,,-0.6601636824723925,0.0951
Rv2045c,lipT,-0.6588049070523457,0.0125
Rv2682c,dxs1,-0.6459636458749123,0.0509
Rv1018c,glmU,-0.6455392294605259,0.002
Rv2916c,ffh,-0.6384477748747059,0.0773
Rv1679,fadE16,-0.6381614512867387,0.0004
Rv0552,,-0.6375184835340789,0.0239
Rv0913c,,-0.631383290948385,0.022
Rv3375,amiD,-0.6301039853223258,0.0334
Rv3198c,uvrD2,-0.628162038583253,0.0106
Rv2611c,,-0.6266402341541769,0.0127
Rv0493c,,-0.6264531261759426,0.0031
Rv2890c,rpsB,-0.6242386111721788,0.031
Rv2482c,plsB2,-0.6232941006546746,0.0294
Rv2258c,,-0.6221819010184061,0.0098
Rv0823c,,-0.6221237016284655,0.0073
Rv3726,,-0.6169141192853803,0.0145
Rv3272,,-0.6161850260591722,0.0146
Rv1398c,vapB10,-0.6133048283333118,0.228
Rv0221,,-0.6112960911771714,0.007
Rv0914c,,-0.6088512551807981,0.0103
Rv1815,,-0.605801726002078,0.159
Rv1586c,,-0.6037850387616971,0.0782
Rv2423,,-0.6021543888243035,0.0367
Rv3240c,secA1,-0.6020853440229299,0.1939
Rv3303c,lpdA,-0.5995146725182873,0.0209
Rv3169,,-0.597186026893953,0.0032
Rv0120c,fusA2,-0.5958277853875503,0.0134
Rv0131c,fadE1,-0.5948522057856919,0.0477
Rv1943c,mazE5,-0.59379873420741,0.8503
Rv2392,cysH,-0.5930669077430374,0.0783
Rv3255c,manA,-0.5926885894359495,0.0284
Rv1010,ksgA,-0.5894019399936435,0.0338
Rv0885,,-0.5877156855207822,0.0322
Rv1194c,,-0.5861177398522218,0.0124
Rv1601,hisB,-0.5855768977976733,0.525
Rv3308,pmmB,-0.5852242562416621,0.0436
Rv0003,recF,-0.5840180764117827,0.0039
Rv3329,,-0.5837721669549568,0.0004
Rv0070c,glyA2,-0.5814475458894431,0.0167
Rv3372,otsB2,-0.5747002849436645,0.021
Rv2284,lipM,-0.5740450329157913,0.0543
Rv2404c,lepA,-0.5721580725872079,0.0505
Rv0275c,,-0.5705852155909488,0.1683
Rv0029,,-0.5683200099153849,0.0676
Rv2818c,,-0.5656205283766315,0.019
Rv0423c,thiC,-0.5636703294882254,0.0018
Rv0941c,,-0.5621778755922184,0.2431
Rv3306c,amiB1,-0.5611809143630435,0.0249
Rv2276,cyp121,-0.5593892382786537,0.1909
Rv3441c,mrsA,-0.5582543220521853,0.0142
Rv1673c,,-0.5581927757666209,0.0017
Rv0006,gyrA,-0.5474998535397797,0.1377
Rv1395,,-0.5474619253565596,0.0648
Rv1886c,fbpB,-0.5474093259321717,0.1492
Rv2090,,-0.5469982238724922,0.0286
Rv0002,dnaN,-0.5465058940927082,0.0342
Rv0386,,-0.5452833489883805,0.0242
Rv2400c,subI,-0.5447649143523671,0.0119
Rv0694,,-0.5429573938213471,0.0274
Rv2522c,,-0.5426524456770571,0.028
Rv0189c,ilvD,-0.5414154818958447,0.0069
Rv0419,lpqM,-0.5407543554392192,0.16
Rv1569,bioF1,-0.5393276995353703,0.052
Rv1767,,-0.5374445076854775,0.0007
Rv1400c,lipI,-0.5365860663072264,0.0568
Rv1661,pks7,-0.5360311438505437,0.0669
Rv2064,cobG,-0.5351437535441206,0.0623
Rv3275c,purE,-0.5323987531513468,0.317
Rv0695,,-0.5307880869443269,0.1961
Rv0198c,zmp1,-0.5300830418468448,0.0522
Rv1161,narG,-0.5293056134910082,0.0914
Rv2244,acpM,-0.5277071842958758,0.0435
Rv0808,purF,-0.5268438595010868,0.0011
Rv0553,menC,-0.5261781805503754,0.0837
Rv2027c,dosT,-0.526035230238949,0.0095
Rv3150,nuoF,-0.5235694708177646,0.0255
Rv2632c,,-0.522738148218231,0.3275
Rv3552,,-0.5227077932852444,0.0757
Rv3785,,-0.5209682385687229,0.1601
Rv2187,fadD15,-0.5204078754773643,0.01
Rv0035,fadD34,-0.5167029479596393,0.0602
Rv0688,,-0.514771667170869,0.029
Rv3075c,,-0.5139515360847513,0.016
Rv3315c,cdd,-0.5123512766694335,0.022
Rv0509,hemA,-0.5117053284424105,0.024
Rv1427c,fadD12,-0.5101272058030983,0.0811
Rv2141c,,-0.5098723840896018,0.0018
Rv0778,cyp126,-0.5097417324998378,0.0497
Rv0501,galE2,-0.509057312870838,0.0322
Rv2821c,,-0.5014930932292108,0.3108
Rv3149,nuoE,-0.5010029289371881,0.0317
Rv0669c,,-0.5006118225189002,0.0849
Rv1920,,-0.4998891569690721,0.211
Rv3302c,glpD2,-0.4994499992083879,0.0501
Rv3841,bfrB,-0.4970937526888086,0.0083
