Locus tag,Locus,log_fc,pvalue
Rv3290c,lat,-3.4784561564159486,0.0003
Rv3579c,,-1.8617598558274686,0.0016
Rv3472,,-1.7828446965517928,0.049
Rv3297,nei,-1.7741420593621824,0.0085
Rv3036c,TB22.2,-1.541880600366856,0.0103
Rv1623c,cydA,-1.3897413942277221,0.3234
Rv0097,,-1.3396510832326833,0.0336
Rv0108c,,-1.2842310740829512,0.009
Rv2911,dacB2,-1.2287091322902726,0.0025
Rv0125,pepA,-1.2077488228333977,0.0013
Rv1980c,mpt64,-1.1790906646605988,0.0283
Rv1860,apa,-1.1780412021105011,0.0091
Rv3407,vapB47,-1.1310036123638914,0.013
Rv0099,fadD10,-1.0890135858159355,0.0026
Rv0806c,cpsY,-1.0824146607619507,0.0435
Rv1887,,-1.0661854524298726,0.0893
Rv1208,gpgS,-1.0599107524527656,0.1745
Rv1176c,,-1.0559843819071386,0.12
Rv0760c,,-1.0519814991280754,0.0072
Rv0055,rpsR1,-1.048966435091195,0.0096
Rv1815,,-1.0479729846078638,0.1222
Rv1096,,-1.0345115700172332,0.0032
Rv2524c,fas,-1.019037638597212,0.0515
Rv0697,,-0.9982712791873094,0.0017
Rv3616c,espA,-0.9953808659686655,0.0339
Rv1701,,-0.9784964934383126,0.0018
Rv1844c,gnd1,-0.9765987816809799,0.0057
Rv2242,,-0.9712002059875915,0.0004
Rv2715,,-0.96890597386691,0.0215
Rv0166,fadD5,-0.9621416565345516,0.0165
Rv1943c,mazE5,-0.9467820037594086,0.558
Rv3633,,-0.9328457204528012,0.0158
Rv2975a,,-0.9322785983467469,0.2233
Rv0696,,-0.9320866783655261,0.04
Rv2359,zur,-0.9250488418910656,0.0535
Rv3736,,-0.9144429775233096,0.0036
Rv2335,cysE,-0.9044631061805555,0.0215
Rv0814c,,-0.9002214974567905,0.0071
Rv3118,,-0.9002214974567905,0.0071
Rv1153c,omt,-0.8919033162172793,0.0695
Rv0118c,oxcA,-0.8831966126007919,0.061
Rv1540,,-0.8730155435545602,0.0161
Rv1393c,,-0.872627935041757,0.0107
Rv3785,,-0.8654540018397974,0.1168
Rv3049c,,-0.859489672885022,0.0621
Rv0458,,-0.8588189614969182,0.0036
Rv1963c,mce3R,-0.8572089640611096,0.0892
Rv0073,,-0.8287620936249958,0.1281
Rv0690c,,-0.8179117196753382,0.019
Rv1601,hisB,-0.8064995149287981,0.3919
Rv3059,cyp136,-0.8018541248509335,0.0342
Rv0785,,-0.7929226010633487,0.0816
Rv0220,lipC,-0.7910162527107798,0.0233
Rv1395,,-0.7909731374197766,0.0103
Rv3087,,-0.7880931527644787,0.0531
Rv3403c,,-0.7742864806783555,0.0468
Rv3597c,lsr2,-0.7731427817909089,0.0765
Rv1923,lipD,-0.7729899612751722,0.0087
Rv0069c,sdaA,-0.7701913202396767,0.0254
Rv1647,,-0.7665716781836996,0.6006
Rv2864c,,-0.7653843209391142,0.0113
Rv0275c,,-0.7627197977348662,0.0545
Rv2820c,,-0.762569770011068,0.0561
Rv0941c,,-0.7611676739881563,0.1374
Rv2231c,cobC,-0.7611603244495085,0.0029
Rv0561c,,-0.7580351591535652,0.1846
Rv2391,sirA,-0.7579824504912732,0.0105
Rv1425,,-0.7564576539446625,0.0504
Rv2632c,,-0.7542056396148226,0.1528
Rv2392,cysH,-0.7492485485613282,0.0192
Rv2247,accD6,-0.7423457476953573,0.0304
Rv2884,,-0.7411293191697663,0.0462
Rv0695,,-0.740162310222657,0.0142
Rv1426c,lipO,-0.7348353850402186,0.0684
Rv2821c,,-0.7323137076128111,0.0508
Rv1187,rocA,-0.732238659260278,0.0579
Rv0485,,-0.7298303534410864,0.0012
Rv0864,moaC2,-0.7269040179659618,0.0343
Rv1886c,fbpB,-0.724491065536748,0.0502
Rv2637,dedA,-0.7219814115028191,0.37
Rv0761c,adhB,-0.7148673350777012,0.001
Rv0865,mog,-0.7127134416208737,0.2598
Rv1398c,vapB10,-0.7000722064877603,0.2275
Rv2610c,pimA,-0.6947847450626191,0.0232
Rv1094,desA2,-0.6929880149557514,0.0237
Rv0824c,desA1,-0.6922679458544754,0.0102
Rv1230c,,-0.6898875371423656,0.177
Rv2218,lipA,-0.6883376872205665,0.0056
Rv2824c,,-0.687575672693811,0.0089
Rv0101,nrp,-0.6832868278770956,0.0416
Rv2483c,plsC,-0.6796698251116652,0.113
Rv0886,fprB,-0.6757799838299327,0.0133
Rv2529,,-0.6752175451647541,0.0069
Rv1679,fadE16,-0.6677161040593829,0.0013
Rv1590,,-0.6659311822041214,0.0508
Rv0655,mkl,-0.6617628549264983,0.0526
Rv1167c,,-0.6586970441561892,0.0327
Rv2782c,pepR,-0.6564529559959426,0.0386
Rv1589,bioB,-0.6502133251759488,0.0084
Rv3211,rhlE,-0.6496254204174546,0.017
Rv0046c,ino1,-0.6467569559753921,0.0279
Rv2397c,cysA1,-0.6460475446503955,0.0373
Rv2244,acpM,-0.6458929357963976,0.0162
Rv0567,,-0.6447001836552317,0.0271
Rv1256c,cyp130,-0.6435143641992727,0.0132
Rv1920,,-0.6416233575712273,0.1572
Rv1904,,-0.6402357692079415,0.1948
Rv3164c,moxR3,-0.6396652414007925,0.016
Rv0493c,,-0.638395175857605,0.0092
Rv1420,uvrC,-0.6356887337462795,0.1533
Rv1253,deaD,-0.6324834961374797,0.0159
Rv1188,,-0.631706524987775,0.1563
Rv3275c,purE,-0.6298205185801048,0.3657
Rv3299c,atsB,-0.6276943705438689,0.0074
Rv1198,esxL,-0.6264683004714703,0.16
