Index,Locus tag,Ra,Ra_UNIPROT,#Name,Accession,Start,Stop,Strand,GeneID,Locus,Protein product,Length,Protein Name
0,Rv0001,mra:MRA_0001,A5TY69,chromosome,NC_000962.3,1,1524,+,885041,dnaA,NP_214515.1,507,chromosomal replication initiator protein DnaA
1,Rv0002,mra:MRA_0002,A5TY70,chromosome,NC_000962.3,2052,3260,+,887092,dnaN,NP_214516.1,402,DNA polymerase III subunit beta
2,Rv0003,mra:MRA_0003,A5TY71,chromosome,NC_000962.3,3280,4437,+,887089,recF,NP_214517.1,385,DNA replication/repair protein RecF
3,Rv0004,mra:MRA_0004,A5TY72,chromosome,NC_000962.3,4434,4997,+,887088,,NP_214518.1,187,hypothetical protein Rv0004
4,Rv0005,mra:MRA_0005,A5TY73,chromosome,NC_000962.3,5240,7267,+,887081,gyrB,NP_214519.2,675,DNA gyrase subunit B
5,Rv0006,mra:MRA_0006,A5TY74,chromosome,NC_000962.3,7302,9818,+,887105,gyrA,NP_214520.1,838,DNA gyrase subunit A
6,Rv0007,mra:MRA_0007,A5TY75,chromosome,NC_000962.3,9914,10828,+,885982,,NP_214521.1,304,membrane protein
7,Rv0008c,mra:MRA_0008,A5TY76,chromosome,NC_000962.3,11874,12311,-,887085,,NP_214522.1,145,cell wall synthesis protein CwsA
8,Rv0009,mra:MRA_0009,A5TY77,chromosome,NC_000962.3,12468,13016,+,887087,ppiA,NP_214523.1,182,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA
9,Rv0010c,mra:MRA_0010,A5TY78,chromosome,NC_000962.3,13133,13558,-,887082,,NP_214524.1,141,membrane protein
10,Rv0011c,mra:MRA_0013,A5TY81,chromosome,NC_000962.3,13714,13995,-,887074,,NP_214525.1,93,cell division protein CrgA
11,Rv0012,mra:MRA_0014,A5TY82,chromosome,NC_000962.3,14089,14877,+,887083,,NP_214526.1,262,membrane protein
12,Rv0013,mra:MRA_0015,A5TY83,chromosome,NC_000962.3,14914,15612,+,885955,trpG,YP_177615.1,232,anthranilate synthase component II
13,Rv0014c,mra:MRA_0016,A5TY84,chromosome,NC_000962.3,15590,17470,-,887072,pknB,NP_214528.1,626,serine/threonine-protein kinase PknB
14,Rv0015c,mra:MRA_0017,A5TY85,chromosome,NC_000962.3,17467,18762,-,885953,pknA,NP_214529.1,431,serine/threonine-protein kinase PknA
15,Rv0016c,mra:MRA_0018,A5TY86,chromosome,NC_000962.3,18759,20234,-,887078,pbpA,NP_214530.1,491,penicillin-binding protein PbpA
16,Rv0017c,mra:MRA_0019,A5TY87,chromosome,NC_000962.3,20231,21640,-,887075,rodA,NP_214531.1,469,cell division protein RodA
17,Rv0018c,mra:MRA_0020,A5TY88,chromosome,NC_000962.3,21637,23181,-,887070,pstP,NP_214532.1,514,phosphoserine/threonine phosphatase PstP
18,Rv0019c,mra:MRA_0021,A5TY89,chromosome,NC_000962.3,23270,23737,-,887079,fhaB,NP_214533.1,155,FHA domain-containing protein FhaB
19,Rv0020c,mra:MRA_0022,A5TY90,chromosome,NC_000962.3,23861,25444,-,887067,fhaA,NP_214534.1,527,FHA domain-containing protein FhaA
20,Rv0021c,mra:MRA_0023,A5TY91,chromosome,NC_000962.3,25913,26881,-,887066,,NP_214535.1,322,hypothetical protein Rv0021c
21,Rv0022c,mra:MRA_0025,A5TY93,chromosome,NC_000962.3,27023,27442,-,887071,whiB5,NP_214536.1,139,transcriptional regulator WhiB5
22,Rv0023,mra:MRA_0026,A5TY94,chromosome,NC_000962.3,27595,28365,+,887062,,NP_214537.1,256,transcriptional regulator
23,Rv0024,mra:MRA_0027,A5TY95,chromosome,NC_000962.3,28362,29207,+,887061,,NP_214538.1,281,NLP/P60 family protein
24,Rv0025,mra:MRA_0028,A5TY96,chromosome,NC_000962.3,29245,29607,+,887060,,NP_214539.1,120,hypothetical protein Rv0025
25,Rv0026,mra:MRA_0029,A5TY97,chromosome,NC_000962.3,29722,31068,+,887057,,NP_214540.1,448,hypothetical protein Rv0026
26,Rv0027,mra:MRA_0030,A5TY98,chromosome,NC_000962.3,31189,31506,+,887054,,NP_214541.1,105,hypothetical protein Rv0027
27,Rv0028,mra:MRA_0031,A5TY99,chromosome,NC_000962.3,31514,31819,+,885812,,NP_214542.1,101,hypothetical protein Rv0028
28,Rv0029,mra:MRA_0032,A5TYA0,chromosome,NC_000962.3,32057,33154,+,887053,,NP_214543.1,365,hypothetical protein Rv0029
29,Rv0030,mra:MRA_0033,A5TYA1,chromosome,NC_000962.3,33224,33553,+,887051,,NP_214544.1,109,hypothetical protein Rv0030
30,Rv0032,mra:MRA_0035,A5TYA3,chromosome,NC_000962.3,34295,36610,+,887050,bioF2,NP_214546.1,771,8-amino-7-oxononanoate synthase
31,Rv0033,mra:MRA_0036,A5TYA4,chromosome,NC_000962.3,36607,36870,+,887052,acpA,NP_214547.1,87,acyl carrier protein AcpA
32,Rv0034,mra:MRA_0037,A5TYA5,chromosome,NC_000962.3,36867,37262,+,887046,,NP_214548.1,131,hypothetical protein Rv0034
33,Rv0035,mra:MRA_0038,A5TYA6,chromosome,NC_000962.3,37259,38947,+,887048,fadD34,YP_177686.1,562,fatty-acid--CoA ligase FadD34
34,Rv0036c,mra:MRA_0039,A5TYA7,chromosome,NC_000962.3,39056,39829,-,887043,,NP_214550.1,257,hypothetical protein Rv0036c
35,Rv0037c,mra:MRA_0040,A5TYA8,chromosome,NC_000962.3,39877,41202,-,887042,,NP_214551.1,441,MFS-type transporter
36,Rv0038,mra:MRA_0041,A5TYA9,chromosome,NC_000962.3,41304,41912,+,887045,,NP_214552.1,202,hypothetical protein Rv0038
37,Rv0039c,mra:MRA_0042,A5TYB0,chromosome,NC_000962.3,42004,42351,-,887038,,NP_214553.1,115,transmembrane protein
38,Rv0040c,mra:MRA_0043,A5TYB1,chromosome,NC_000962.3,42433,43365,-,887037,mtc28,NP_214554.2,310,hypothetical protein Rv0040c
39,Rv0041,mra:MRA_0044,A5TYB2,chromosome,NC_000962.3,43562,46471,+,887040,leuS,NP_214555.1,969,leucine--tRNA ligase
40,Rv0042c,mra:MRA_0045,A5TYB3,chromosome,NC_000962.3,46581,47207,-,887034,,NP_214556.1,208,transcriptional regulator
41,Rv0043c,mra:MRA_0046,A5TYB4,chromosome,NC_000962.3,47366,48100,-,887032,,NP_214557.1,244,HTH-type transcriptional regulator
42,Rv0044c,mra:MRA_0047,A5TYB5,chromosome,NC_000962.3,48233,49027,-,887030,,NP_214558.1,264,oxidoreductase
43,Rv0045c,mra:MRA_0048,A5TYB6,chromosome,NC_000962.3,49043,49939,-,887029,,NP_214559.1,298,hydrolase
44,Rv0046c,mra:MRA_0049,A5TYB7,chromosome,NC_000962.3,50021,51124,-,887028,ino1,NP_214560.1,367,inositol-3-phosphate synthase
45,Rv0047c,mra:MRA_0050,A5TYB8,chromosome,NC_000962.3,51185,51727,-,887031,,NP_214561.1,180,hypothetical protein Rv0047c
46,Rv0048c,mra:MRA_0051,A5TYB9,chromosome,NC_000962.3,51828,52697,-,887027,,NP_214562.1,289,membrane protein
47,Rv0049,mra:MRA_0052,A5TYC0,chromosome,NC_000962.3,52831,53244,+,887024,,NP_214563.1,137,hypothetical protein Rv0049
48,Rv0050,mra:MRA_0053,A5TYC1,chromosome,NC_000962.3,53663,55699,+,887065,ponA1,YP_177687.1,678,bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase
49,Rv0051,mra:MRA_0054,A5TYC2,chromosome,NC_000962.3,55696,57378,+,887018,,NP_214565.1,560,transmembrane protein
50,Rv0052,mra:MRA_0055,A5TYC3,chromosome,NC_000962.3,57410,57973,+,887015,,NP_214566.3,187,hypothetical protein Rv0052
51,Rv0053,mra:MRA_0056,A5TYC4,chromosome,NC_000962.3,58192,58482,+,887020,rpsF,NP_214567.1,96,30S ribosomal protein S6
52,Rv0054,mra:MRA_0057,A5TYC5,chromosome,NC_000962.3,58586,59080,+,887013,ssb,NP_214568.1,164,single-strand DNA-binding protein
53,Rv0055,mra:MRA_0058,A5TYC6,chromosome,NC_000962.3,59122,59376,+,887022,rpsR1,YP_177688.1,84,30S ribosomal protein S18
54,Rv0056,mra:MRA_0059,A5TYC7,chromosome,NC_000962.3,59409,59867,+,887010,rplI,NP_214570.1,152,50S ribosomal protein L9
55,Rv0057,mra:MRA_0059A,A5TYC8,chromosome,NC_000962.3,59896,60417,+,887008,,NP_214571.1,173,hypothetical protein Rv0057
56,Rv0058,mra:MRA_0060,A5TYC9,chromosome,NC_000962.3,60396,63020,+,887009,dnaB,NP_214572.1,874,replicative DNA helicase
57,Rv0059,mra:MRA_0061,A5TYD0,chromosome,NC_000962.3,63200,63892,+,887006,,NP_214573.1,230,hypothetical protein Rv0059
58,Rv0060,mra:MRA_0062,A5TYD1,chromosome,NC_000962.3,63909,64967,+,887004,,NP_214574.1,352,hypothetical protein Rv0060
59,Rv0061c,mra:MRA_2325,A5U4Z2,chromosome,NC_000962.3,65012,65350,-,14515843,,YP_007408697.1,112,hypothetical protein Rv0061c
60,Rv0062,mra:MRA_0064,A5TYD3,chromosome,NC_000962.3,65552,66694,+,887007,celA1,YP_177689.1,380,cellulase CelA
61,Rv0063,mra:MRA_0065,A5TYD4,chromosome,NC_000962.3,66923,68362,+,886999,,NP_214577.1,479,oxidoreductase
62,Rv0063a,,,chromosome,NC_000962.3,68418,68579,+,19394667,,YP_009030026.1,53,hypothetical protein Rv0063a
63,Rv0064,mra:MRA_0066,A5TYD5,chromosome,NC_000962.3,68620,71559,+,886996,,NP_214578.1,979,transmembrane protein
64,Rv0064A,,,chromosome,NC_000962.3,71589,71828,+,14515844,vapB1,YP_007408701.1,79,antitoxin VapB1
65,Rv0065,mra:MRA_0067,A5TYD6,chromosome,NC_000962.3,71821,72222,+,886993,vapC1,NP_214579.1,133,ribonuclease VapC1
66,Rv0066c,mra:MRA_0068,A5TYD7,chromosome,NC_000962.3,72274,74511,-,887016,icd2,NP_214580.1,745,isocitrate dehydrogenase
67,Rv0067c,mra:MRA_0069,A5TYD8,chromosome,NC_000962.3,74629,75198,-,886991,,NP_214581.1,189,transcriptional regulator
68,Rv0068,mra:MRA_0070,A5TYD9,chromosome,NC_000962.3,75301,76212,+,886989,,NP_214582.1,303,oxidoreductase
69,Rv0069c,mra:MRA_0071,A5TYE0,chromosome,NC_000962.3,76237,77622,-,886986,sdaA,NP_214583.1,461,L-serine dehydratase
70,Rv0070c,mra:MRA_0072,A5TYE1,chromosome,NC_000962.3,77619,78896,-,886983,glyA2,NP_214584.1,425,serine hydroxymethyltransferase
71,Rv0071,mra:MRA_0073,A5TYE2,chromosome,NC_000962.3,79486,80193,+,886988,,NP_214585.1,235,maturase
72,Rv0072,mra:MRA_0074,A5TYE3,chromosome,NC_000962.3,80624,81673,+,886984,,NP_214586.1,349,glutamine ABC transporter permease
73,Rv0073,mra:MRA_0075,A5TYE4,chromosome,NC_000962.3,81676,82668,+,886977,,NP_214587.1,330,glutamine ABC transporter ATP-binding protein
74,Rv0074,mra:MRA_0076,A5TYE5,chromosome,NC_000962.3,82748,83983,+,886976,,NP_214588.1,411,hypothetical protein Rv0074
75,Rv0075,mra:MRA_0077,A5TYE6,chromosome,NC_000962.3,83996,85168,+,886982,,NP_214589.1,390,aminotransferase
76,Rv0076c,mra:MRA_0078,A5TYE7,chromosome,NC_000962.3,85183,85572,-,886992,,NP_214590.1,129,membrane protein
77,Rv0077c,mra:MRA_0079,A5TYE8,chromosome,NC_000962.3,85636,86466,-,886969,,NP_214591.1,276,oxidoreductase
78,Rv0078,mra:MRA_0080,A5TYE9,chromosome,NC_000962.3,86528,87133,+,886990,,NP_214592.1,201,transcriptional regulator
79,Rv0078A,mra:MRA_0081,A5TYF0,chromosome,NC_000962.3,87208,87801,-,3205053,,YP_177616.1,197,hypothetical protein Rv0078A
80,Rv0078B,mra:MRA_0082,A5TYF1,chromosome,NC_000962.3,87798,88004,-,14515845,,YP_007408717.1,68,hypothetical protein Rv0078B
81,Rv0079,mra:MRA_0083,A5TYF2,chromosome,NC_000962.3,88204,89025,+,886995,,NP_214593.1,273,hypothetical protein Rv0079
82,Rv0080,mra:MRA_0084,A5TYF3,chromosome,NC_000962.3,89022,89480,+,886966,,NP_214594.1,152,hypothetical protein Rv0080
83,Rv0081,mra:MRA_0085,A5TYF4,chromosome,NC_000962.3,89575,89919,+,887012,,NP_214595.1,114,HTH-type transcriptional regulator
84,Rv0082,mra:MRA_0086,A5TYF5,chromosome,NC_000962.3,89924,90403,+,886968,,NP_214596.2,159,oxidoreductase
85,Rv0083,mra:MRA_0087,A5TYF6,chromosome,NC_000962.3,90400,92322,+,886965,,NP_214597.1,640,oxidoreductase
86,Rv0084,mra:MRA_0088,A5TYF7,chromosome,NC_000962.3,92328,93278,+,886959,hycD,NP_214598.1,316,formate hydrogenlyase HycD
87,Rv0085,mra:MRA_0089,A5TYF8,chromosome,NC_000962.3,93289,93951,+,886973,hycP,NP_214599.1,220,hydrogenase HycP
88,Rv0086,mra:MRA_0090,A5TYF9,chromosome,NC_000962.3,93951,95417,+,886963,hycQ,NP_214600.1,488,hydrogenase HycQ
89,Rv0087,mra:MRA_0091,A5TYG0,chromosome,NC_000962.3,95414,96892,+,886956,hycE,NP_214601.1,492,formate hydrogenase HycE
90,Rv0088,mra:MRA_0092,A5TYG1,chromosome,NC_000962.3,96927,97601,+,886954,,NP_214602.1,224,polyketide cyclase/dehydrase
91,Rv0089,mra:MRA_0093,A5TYG2,chromosome,NC_000962.3,97758,98351,+,886949,,NP_214603.1,197,methyltransferase
92,Rv0090,mra:MRA_0094,A5TYG3,chromosome,NC_000962.3,98480,99250,+,886961,,NP_214604.1,256,membrane protein
93,Rv0091,mra:MRA_0095,A5TYG4,chromosome,NC_000962.3,99684,100451,+,886953,mtn,NP_214605.1,255,bifunctional 5\\'-methylthioadenosine nucleosidase /S-adenosylhomocysteine nucleosidase
94,Rv0092,mra:MRA_0096,A5TYG5,chromosome,NC_000962.3,100583,102868,+,886946,ctpA,NP_214606.1,761,cation transporter ATPase A
95,Rv0093c,mra:MRA_0097,A5TYG6,chromosome,NC_000962.3,102815,103663,-,886945,,NP_214607.1,282,membrane protein
96,Rv0094c,mra:MRA_0098,A5TYG7,chromosome,NC_000962.3,103710,104663,-,886943,,NP_214608.1,317,hypothetical protein Rv0094c
97,Rv0095c,mra:MRA_0099,A5TYG8,chromosome,NC_000962.3,104805,105215,-,886940,,NP_214609.1,136,hypothetical protein Rv0095c
98,Rv0096,mra:MRA_0100,A5TYG9,chromosome,NC_000962.3,105324,106715,+,886938,PPE1,YP_177690.1,463,PPE family protein PPE1
99,Rv0097,mra:MRA_0101,A5TYH0,chromosome,NC_000962.3,106734,107603,+,886942,,NP_214611.1,289,oxidoreductase
100,Rv0098,mra:MRA_0102,A5TYH1,chromosome,NC_000962.3,107600,108151,+,886935,fcoT,NP_214612.1,183,fatty acyl CoA thioesterase FcoT
101,Rv0099,mra:MRA_0103,A5TYH2,chromosome,NC_000962.3,108156,109778,+,886933,fadD10,NP_214613.1,540,fatty-acid--CoA ligase FadD10
102,Rv0100,mra:MRA_0104,A5TYH3,chromosome,NC_000962.3,109783,110019,+,886931,,NP_214614.1,78,hypothetical protein Rv0100
103,Rv0101,mra:MRA_0106,A5TYH5,chromosome,NC_000962.3,110001,117539,+,886951,nrp,NP_214615.1,2512,peptide synthetase Nrp
104,Rv0102,mra:MRA_0107,A5TYH6,chromosome,NC_000962.3,117714,119699,+,886926,,NP_214616.1,661,integral membrane protein
105,Rv0103c,mra:MRA_0108,A5TYH7,chromosome,NC_000962.3,119915,122173,-,886928,ctpB,NP_214617.1,752,cation-transporter P-type ATPase B
106,Rv0104,mra:MRA_0109,A5TYH8,chromosome,NC_000962.3,122317,123831,+,886923,,NP_214618.1,504,hypothetical protein Rv0104
107,Rv0105c,mra:MRA_0110,A5TYH9,chromosome,NC_000962.3,123980,124264,-,886920,rpmB1,YP_177691.1,94,50S ribosomal protein L28
108,Rv0106,mra:MRA_0111,A5TYI0,chromosome,NC_000962.3,124374,125570,+,886919,,NP_214620.1,398,hypothetical protein Rv0106
109,Rv0107c,mra:MRA_0112,A5TYI1,chromosome,NC_000962.3,125643,130541,-,886915,ctpI,NP_214621.1,1632,cation-transporter ATPase I
110,Rv0108c,mra:MRA_0114,A5TYI2,chromosome,NC_000962.3,130895,131104,-,886918,,NP_214622.1,69,hypothetical protein Rv0108c
111,Rv0109,mra:MRA_0115,A5TYI3,chromosome,NC_000962.3,131382,132872,+,886912,PE_PGRS1,YP_177692.1,496,PE-PGRS family protein PE_PGRS1
112,Rv0110,mra:MRA_0116,A5TYI4,chromosome,NC_000962.3,133020,133769,+,886917,,NP_214624.1,249,integral membrane protein
113,Rv0111,mra:MRA_0117,A5TYI5,chromosome,NC_000962.3,133950,136007,+,886909,,NP_214625.1,685,transmembrane acyltransferase
"114,Rv0112,mra:MRA_0118,A5TYI6,chromosome,NC_000962.3,136289,137245,+,886907,gca,NP_214626.1,318,""GDP-mannose 4,6-dehydratase"""
115,Rv0113,mra:MRA_0119,A5TYI7,chromosome,NC_000962.3,137319,137909,+,886905,gmhA,NP_214627.1,196,phosphoheptose isomerase
"116,Rv0114,mra:MRA_0120,A5TYI8,chromosome,NC_000962.3,137941,138513,+,886903,gmhB,NP_214628.1,190,""D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase"""
117,Rv0115,mra:MRA_0121,A5TYI9,chromosome,NC_000962.3,138513,139673,+,886902,hddA,NP_214629.1,386,D-alpha-D-heptose-7-phosphate kinase HddA
118,Rv0115a,mra:MRA_0122,A5TYJ0,chromosome,NC_000962.3,139956,140144,+,19394668,,YP_009030027.1,62,hypothetical protein Rv0115a
"119,Rv0116c,mra:MRA_0123,A5TYJ1,chromosome,NC_000962.3,140267,141022,-,886900,ldtA,NP_214630.1,251,""L,D-transpeptidase LdtA"""
